property,mortgage,percent fin,first repay, max repay worst, primeDecrease, diffNperFactor, rate customer, size of jump, min kalatz, max var, max cpi 
3800000.0,2000000.0,0.5263157894736842,8000.0,12000.0,0.6,0.3,4.0,0.05,0.1,0.4,0.6

first repay , all payment main ,allRateTotalPaymentMain , max repay main, all payment worst, allRateTotalPaymentWorst, max repay worst, kalatz rate, kalatz nper, kalatz pv, kalatz prop,katz rate, katz nper, katz pv, katz prop, var 5 Cpi rate, var 5 Cpi nper, var 5 Cpi pv, var 5 Cpi prop,var 5 Const rate, var 5 Const nper, var 5 Const pv, var 5 Const prop,prime rate, prime nper, prime pv , prime prop,rate customer mix,first repay kalatz, total payment kalatz , total rate kalatz,first repay katz, total payment katz main, total rate katz main , total payment katz worst,total rate katz worst ,first repay var5cpi, total payment var5cpi main, total rate var5cpi main , total payment var5cpi worst,total rate var5cpi worst ,first repay var5const, total payment var5const main, total rate var5const main , total payment var5const worst,total rate var5const worst ,first repay prime, total payment prime main, total rate prime main , total payment prime worst,total rate prime worst
7976.923242850096,3027095.9440516303,1027095.9440516303,9531.385275341405,3261534.307157968,1261534.3071579682,10828.547434815537,3.1166666666666667,348.0,799999.9999999999,0.39999999999999997,2.511111111111111,324.0,600000.0,0.3,2.762,300.0,0.0,0.0,3.46,300.0,0.0,0.0,-0.6,360.0,600000.0,0.3,0.0,3494.935560213757,1216237.574954361,416237.5749543611,2552.1505599573375,971096.1748241195,371096.17482411955,971096.1748241195,492932.6778167647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1929.8371226790023,839762.19427315,239762.19427314994,952364.0543868423,352364.0543868423
7994.924091095698,3035167.0862389426,1035167.0862389426,9678.953303012993,3279769.9559770627,1279769.9559770627,11085.029341779127,3.22,360.0,700000.0,0.35,2.4333333333333336,312.0,700000.0,0.35,2.762,300.0,0.0,0.0,3.46,300.0,0.0,0.0,-0.6,360.0,600000.0,0.3,0.0,3034.930582001969,1092575.0095207237,392575.0095207237,3030.1563864147265,1102829.8824450686,402829.88244506856,1102829.8824450686,534830.8920694964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1929.8371226790023,839762.19427315,239762.19427314994,952364.0543868423,352364.0543868423
7994.242063154663,3036632.068085275,1036632.0680852751,9838.201392685922,3300092.2249125997,1300092.2249125997,11390.218527240935,3.22,360.0,600000.0,0.3,2.4333333333333336,312.0,799999.9999999999,0.39999999999999997,2.762,300.0,0.0,0.0,3.46,300.0,0.0,0.0,-0.6,360.0,600000.0,0.3,0.0,2601.369070287402,936492.8653034756,336492.86530347564,3463.0358701882583,1260377.0085086494,460377.00850864954,1260377.0085086494,611235.3052222816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1929.8371226790023,839762.19427315,239762.19427314994,952364.0543868423,352364.0543868423
7993.560035213628,3038097.0499316105,1038097.0499316105,9997.44948235885,3320414.4938481366,1320414.4938481366,11695.407712702747,3.22,360.0,500000.0,0.25,2.4333333333333336,312.0,899999.9999999999,0.44999999999999996,2.762,300.0,0.0,0.0,3.46,300.0,0.0,0.0,-0.6,360.0,600000.0,0.3,0.0,2167.807558572835,780410.7210862281,280410.72108622815,3895.9153539617905,1417924.1345722324,517924.1345722325,1417924.1345722324,687639.7183750664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1929.8371226790023,839762.19427315,239762.19427314994,952364.0543868423,352364.0543868423
7975.847811794284,3045925.9581289315,1045925.9581289317,9062.371144602152,3234138.8729197914,1234138.8729197916,9937.602604175712,3.144444444444445,348.0,1099999.9999999998,0.5499999999999999,2.7444444444444445,360.0,300000.00000000006,0.15000000000000005,2.768,300.0,0.0,0.0,3.54,300.0,0.0,0.0,-0.6,360.0,600000.0,0.30000000000000004,0.0,4822.047387131401,1678072.4907217636,578072.4907217638,1223.963301983881,528091.2731340176,228091.27313401754,528091.2731340176,303702.3278111858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1929.8371226790023,839762.19427315,239762.19427314994,952364.0543868423,352364.0543868423
7989.090813870791,3052530.535128405,1052530.5351284049,9413.435970662485,3275398.492547081,1275398.4925470809,10598.592866718069,3.144444444444445,348.0,899999.9999999999,0.44999999999999996,2.6666666666666665,336.0,500000.0,0.25,2.768,300.0,0.0,0.0,3.54,300.0,0.0,0.0,-0.6,360.0,600000.0,0.3,0.0,3945.311498562055,1372968.401499622,472968.40149962215,2113.9421926297337,839799.939355633,339799.939355633,839799.939355633,450066.036660617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1929.8371226790023,839762.19427315,239762.19427314994,952364.0543868423,352364.0543868423
7994.100608088857,3053368.1087940857,1053368.1087940857,9795.094471648546,3321282.4790725186,1321282.4790725186,11274.3381569056,3.1166666666666667,348.0,700000.0,0.35,2.4333333333333336,312.0,600000.0,0.3,2.762,360.0,100000.0,0.05,3.46,300.0,0.0,0.0,-0.6,360.0,600000.0,0.3,0.0,3058.068615187038,1064207.878085063,364207.8780850631,2597.2769026411943,945282.7563814884,345282.7563814884,945282.7563814884,458426.4789167128,408.91796758162207,204115.28005438414,104115.28005438414,246284.0676839009,146284.0676839009,0.0,0.0,0.0,0.0,0.0,1929.8371226790023,839762.19427315,239762.19427314994,952364.0543868423,352364.0543868423
7981.8060209108935,3056375.839135951,1056375.839135951,9256.674916927936,3263799.4976129523,1263799.4976129523,10309.449176357703,3.144444444444445,348.0,999999.9999999999,0.49999999999999994,2.7444444444444445,348.0,400000.0,0.2,2.768,300.0,0.0,0.0,3.54,300.0,0.0,0.0,-0.6,360.0,600000.0,0.3,0.0,4383.679442846728,1525520.4461106956,525520.4461106957,1668.2894553851627,691093.1987521052,291093.19875210524,691093.1987521052,385914.99711541436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1929.8371226790023,839762.19427315,239762.19427314994,952364.0543868423,352364.0543868423
7990.11314683567,3058885.537988372,1058885.5379883721,9951.037128009353,3345657.1953560086,1345657.1953560086,11576.22190905529,3.1166666666666667,348.0,600000.0,0.3,2.4333333333333336,312.0,700000.0,0.35,2.762,360.0,100000.0,0.05,3.46,300.0,0.0,0.0,-0.6,360.0,600000.0,0.3,0.0,2621.2016701603184,912178.1812157694,312178.1812157694,3030.1563864147265,1102829.8824450686,402829.88244506856,1102829.8824450686,534830.8920694964,408.91796758162207,204115.28005438414,104115.28005438414,246284.0676839009,146284.0676839009,0.0,0.0,0.0,0.0,0.0,1929.8371226790023,839762.19427315,239762.19427314994,952364.0543868423,352364.0543868423
7986.125685582481,3064402.9671826544,1064402.9671826544,10106.979784370154,3370031.911639495,1370031.9116394948,11878.105661204972,3.1166666666666667,348.0,500000.0,0.25,2.4333333333333336,312.0,799999.9999999999,0.39999999999999997,2.762,360.0,100000.0,0.05,3.46,300.0,0.0,0.0,-0.6,360.0,600000.0,0.3,0.0,2184.3347251335986,760148.4843464707,260148.48434647068,3463.0358701882583,1260377.0085086494,460377.00850864954,1260377.0085086494,611235.3052222816,408.91796758162207,204115.28005438414,104115.28005438414,246284.0676839009,146284.0676839009,0.0,0.0,0.0,0.0,0.0,1929.8371226790023,839762.19427315,239762.19427314994,952364.0543868423,352364.0543868423
